"Detail Url","File 1","Confidence","File 2","Confidence","Number of Matched Lines"
"http://moss.stanford.edu/results/781444417/match131.html","./data/enjalot_27969219a945e2bd20dc.html","2","./data/fabid_8b6a0277075d770f088a.html","4","6"
"http://moss.stanford.edu/results/781444417/match132.html","./data/enjalot_27969219a945e2bd20dc.html","2","./data/fabid_0c4cf357ab5ed3e90382.html","8","6"
"http://moss.stanford.edu/results/781444417/match133.html","./data/enjalot_27969219a945e2bd20dc.html","2","./data/fabid_024452c42b94723b401d.html","3","6"
"http://moss.stanford.edu/results/781444417/match134.html","./data/emeeks_0d69f4a8c717d5548977.html","5","./data/sdbernard_2e44bd82c9d048b88451.html","1","5"
"http://moss.stanford.edu/results/781444417/match135.html","./data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","13","5"
"http://moss.stanford.edu/results/781444417/match136.html","./data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","./data/mbostock_3305937.html","8","5"
"http://moss.stanford.edu/results/781444417/match137.html","./data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","./data/fabid_0c4cf357ab5ed3e90382.html","8","5"
"http://moss.stanford.edu/results/781444417/match138.html","./data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","./data/dmijalkovic_52fb07194d4b2988cafb.html","5","5"
"http://moss.stanford.edu/results/781444417/match139.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","14","./data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","5"
"http://moss.stanford.edu/results/781444417/match140.html","./data/WilliamQLiu_803b712a4d6efbf7bdb4.html","4","./data/WilliamQLiu_faaac1a0ecbc124171cf.html","3","6"
"http://moss.stanford.edu/results/781444417/match141.html","./data/Rico3734_fa14dff4959ccb0886a9.html","14","./data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","5"
"http://moss.stanford.edu/results/781444417/match142.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","13","./data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","5"
"http://moss.stanford.edu/results/781444417/match143.html","./data/abhishekpolavarapu_337680374993cf1d8c08.html","16","./data/harasaki_460aaba1843db30e222b.html","12","8"
"http://moss.stanford.edu/results/781444417/match144.html","./data/GitNoise_1768f929ffafb7a2238f7438a866dc37.html","2","./data/emeeks_a726210cbc439b969f02.html","4","11"
"http://moss.stanford.edu/results/781444417/match145.html","./data/fabid_8b6a0277075d770f088a.html","4","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","12","4"
"http://moss.stanford.edu/results/781444417/match146.html","./data/fabid_8b6a0277075d770f088a.html","4","./data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","21","4"
"http://moss.stanford.edu/results/781444417/match147.html","./data/fabid_8b6a0277075d770f088a.html","4","./data/harasaki_5a1e11cb302b66fc0b8b.html","20","4"
"http://moss.stanford.edu/results/781444417/match148.html","./data/fabid_024452c42b94723b401d.html","3","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","12","4"
